English Term;spanish term
Nonpreference category;Categoría de no preferencia
Non-refoulement;No devolución
Notary public;Notario Público
Number;Número
Occupation;Ocupación
Ombudsman;Ombudsman
Panama Canal Act immigrants;Inmigrantes de la Ley del Canal de Panamá
Panel physician;Médico de Panel
Parole;Permiso de Ingreso
Parole in place;Libertad condicional en el lugar
Parolee;Persona con Permiso de Permanencia Temporal
passport;pasaporte
Pattern;Patrón
Pay;Pago
payroll;nomina
pension;pension
Permanent resident;Límite por país
Permanent Resident Alien;Residencia Permanente
Permanent Resident Card;Extranjero Residente Permanente
Permit;Permiso
Person;Persona
Petitioner;Solicitante
Physical Address;Dirección Física
Port of entry;Puerto de entrada
practice;práctica
Practitioner;Profesional
Precedent decision;Decisión precedente
Preference System;Sistema de Preferencia
Pre-inspection;Inspección previa
Principal Alien;Extranjero principal
Priority Date;Fecha de Prioridad
Pro Bono Program;Programa Pro Bono
Processing Times;Tiempos de Procesamiento
Prosecutorial discretion;Discreción para procesar
Provisional waiver;Exención provisional
Qualified Representative;Representante Cualificado
quota;cuota
Receipt Number;Número de recibo
recession;recesion
Recognized Organization;Organización Reconocida
Record of proceedings;Acta de las actuaciones
recruitment;reclutamiento
Re-entry Permit;Permiso de Reingreso
Refugee;refugiado
Refugee Travel Document;Documento de Viaje de Refugiado
Refugee-parolee;Refugiado en libertad condicional
Registry date;Fecha de registro
Regular migration;Migración regular
Regulations;Regulaciones
Reintegration;Reintegración
Reject;Rechazar
Remand;Remand
Remittances;Remesas
Removal;Devolución
Remuneration;remuneracion
Request for Evidence;Solicitud de Evidencia
required documents;documentos requisito
Resettlement;Reasentamiento
Resident alien;Extranjero residente
Responsible Officer;Oficial Responsable
Returning resident;Residente que regresa
Safe haven;Refugio seguro
salary;sueldo
Separated children;Menores separados
Service centers;Centros de Servicio
smuggler;traficante
smuggling;contrabando
Smuggling of migrants;Trata de personas
Social remittances;Remesas sociales
Sovereignty;Soberanía
Special agricultural workers;Trabajadores agrícolas especiales
Special immigrants;Inmigrantes especiales
Special naturalization provisions;Disposiciones especiales para la naturalización
Special Situations;Situaciones Especiales
Special Student Relief;Ayuda para Estudiantes Especiales
Specialty occupation;Ocupación de especialidad
Sponsor;Patrocinador
Sporadic;Esporádico
Stateless;Apátrida
Stateless person;persona Apátrida
Stowaway;Polizón
T Nonimmigrant Status;Visa de No Inmigrante T
tax;impuesto
Temporary Protected Status;Estatus de Protección Temporal
Temporary resident;Residente temporal
Temporary worker;Trabajador Temporal
Tentative Nonconfirmation;No Confirmación Tentativa
tourist;turista
Trafficking in persons;Tráfico de migrantes
Transit Alien;Extranjero en tránsito
Transit without visa;Tránsito sin visado
Travel Documents;Documentos de Viajes
U Nonimmigrant Status;Visa de No Inmigrante U
U.S. Citizenship and Immigration Services;Servicio de Ciudadanía e Inmigración de Estados Unidos
U.S. Customs and Border Protection;Oficina de Aduanas y Protección Fronteriza
U.S. Immigration and Customs Enforcement;Servicio de Inmigración y Control de Aduanas
U.S. territories;Territorios de EE. UU.
Unaccompanied children;Menores no acompañados
unauthorized;no autorizado
undocumented;indocumentado
unemployment;desempleo
union;sindicato
United States;Estados Unidos
unskilled;no capacitado
USCIS;USCIS
USCIS Immigrant Fee;Tarifa de Inmigrante de USCIS
USCIS Number;Número de USCIS
USCIS Online Account Number;Número de Cuenta en Línea de USCIS
Usual residence;Lugar de residencia habitual
vacancy;vacante
Visa;visado
Visa Bulletin;Boletín de Visas
Visa Lottery;Lotería de Visas
Visa Retrogression;Retroceso de Visa
Visa Waiver Program;Programa de exención de visado
Voluntary departure;Salida voluntaria
Vulnerability;Vulnerabilidad
wage;salario
waiver;exencion
welfare;asistencia social
Willful misrepresentation;Declaración falsa a sabiendas
Withdrawal;Retirada
Xenophobia;Xenofobia
